id_gcp;id_img;x;y;source
3;1;3019;1461;MANUAL
3;2;2549;1448;MANUAL
3;3;1862;1652;MANUAL
4;1;3437;1683;MANUAL
4;2;3003;1431;MANUAL
4;3;2219;1402;MANUAL
5;1;3085;2142;MANUAL
5;2;3020;1943;MANUAL
5;3;2582;1799;MANUAL
6;1;2678;1851;MANUAL
6;2;2525;1915;MANUAL
6;3;2178;2044;MANUAL
7;1;2247;1535;MANUAL
7;2;1963;1877;MANUAL
7;3;1679;2338;MANUAL
8;1;1955;1902;MANUAL
8;2;1954;2330;MANUAL
8;3;2007;2710;MANUAL
9;1;2395;2158;MANUAL
9;2;2495;2301;MANUAL
9;3;2423;2366;MANUAL
10;1;2847;2451;MANUAL
10;2;3032;2295;MANUAL
10;3;2824;2065;MANUAL
11;1;2400;2965;MANUAL
11;2;3013;2930;MANUAL
11;3;3215;2550;MANUAL
12;1;1983;2639;MANUAL
12;2;2469;2910;MANUAL
12;3;2815;2845;MANUAL
13;1;1581;2328;MANUAL
13;2;1914;2891;MANUAL
13;3;2377;3173;MANUAL